dcterms:identifier,id_dico,genex:hasDico ^^resource,genex:hasType,dcterms:description,dcterms:title,genex:isCaract
63110,42,35,a,peint,a_peint,0
55640,34,30,a,peint,a_peint,0
93229,73,42,a,peint,a_peint,0
166723,34,30,a,peloté,a_peloté,0
63111,42,35,a,penché,a_penché,0
55641,34,30,a,penché,a_penché,0
93230,73,42,a,penché,a_penché,0
168584,34,30,a,pendant,a_pendant,0
63112,42,35,a,pendu,a_pendu,0
55642,34,30,a,pendu,a_pendu,0
93231,73,42,a,pendu,a_pendu,0
63113,42,35,a,pénétrable,a_pénétrable,0
55643,34,30,a,pénétrable,a_pénétrable,0
93232,73,42,a,pénétrable,a_pénétrable,0
63114,42,35,a,pénétré,a_pénétré,0
55644,34,30,a,pénétré,a_pénétré,0
93233,73,42,a,pénétré,a_pénétré,0
63115,42,35,a,pénible,a_pénible,0
55645,34,30,a,pénible,a_pénible,0
93234,73,42,a,pénible,a_pénible,0
158502,34,30,a,pénible 1,a_pénible 1,0
169927,34,30,a,pénitent,a_pénitent,0
63116,42,35,a,pensant,a_pensant,0
55646,34,30,a,pensant,a_pensant,0
93235,73,42,a,pensant,a_pensant,0
63117,42,35,a,pensé,a_pensé,0
55647,34,30,a,pensé,a_pensé,0
93236,73,42,a,pensé,a_pensé,0
63118,42,35,a,pensif,a_pensif,0
55648,34,30,a,pensif,a_pensif,0
93237,73,42,a,pensif,a_pensif,0
170833,34,30,a,pensionnaire,a_pensionnaire,0
158104,42,35,a,people 1,a_people 1,0
63119,42,35,a,perçant,a_perçant,0
55649,34,30,a,perçant,a_perçant,0
93238,73,42,a,perçant,a_perçant,0
63120,42,35,a,percé,a_percé,0
55650,34,30,a,percé,a_percé,0
93239,73,42,a,percé,a_percé,0
63121,42,35,a,perceptible,a_perceptible,0
55651,34,30,a,perceptible,a_perceptible,0
93240,73,42,a,perceptible,a_perceptible,0
63122,42,35,a,perché,a_perché,0
55652,34,30,a,perché,a_perché,0
93241,73,42,a,perché,a_perché,0
63123,42,35,a,perçu,a_perçu,0
55653,34,30,a,perçu,a_perçu,0
93242,73,42,a,perçu,a_perçu,0
63124,42,35,a,perdu,a_perdu,0
55654,34,30,a,perdu,a_perdu,0
93243,73,42,a,perdu,a_perdu,0
60708,34,30,a,perdu 1,a_perdu 1,0
68295,42,35,a,perdu 1,a_perdu 1,0
98408,73,42,a,perdu 1,a_perdu 1,0
63125,42,35,a,péremptoire,a_péremptoire,0
55655,34,30,a,péremptoire,a_péremptoire,0
93244,73,42,a,péremptoire,a_péremptoire,0
170399,34,30,a,perfide,a_perfide,0
168912,34,30,a,perforé,a_perforé,0
167455,34,30,a,périodique,a_périodique,0
63126,42,35,a,permanent,a_permanent,0
55656,34,30,a,permanent,a_permanent,0
93245,73,42,a,permanent,a_permanent,0
63127,42,35,a,permis,a_permis,0
55657,34,30,a,permis,a_permis,0
93246,73,42,a,permis,a_permis,0
63128,42,35,a,perpendiculaire,a_perpendiculaire,0
55658,34,30,a,perpendiculaire,a_perpendiculaire,0
93247,73,42,a,perpendiculaire,a_perpendiculaire,0
63129,42,35,a,perpétuel,a_perpétuel,0
55659,34,30,a,perpétuel,a_perpétuel,0
93248,73,42,a,perpétuel,a_perpétuel,0
63130,42,35,a,perplexe,a_perplexe,0
55660,34,30,a,perplexe,a_perplexe,0
93249,73,42,a,perplexe,a_perplexe,0
171312,34,30,a,persécuté,a_persécuté,0
63131,42,35,a,persistant,a_persistant,0
93250,73,42,a,persistant,a_persistant,0
63132,42,35,a,personnel,a_personnel,0
55661,34,30,a,personnel,a_personnel,0
93251,73,42,a,personnel,a_personnel,0
60709,34,30,a,personnel 1,a_personnel 1,0
68296,42,35,a,personnel 1,a_personnel 1,0
98409,73,42,a,personnel 1,a_personnel 1,0
63133,42,35,a,persuadé,a_persuadé,0
55662,34,30,a,persuadé,a_persuadé,0
93252,73,42,a,persuadé,a_persuadé,0
169757,34,30,a,persuasif 1,a_persuasif 1,0
169821,34,30,a,perturbé 1,a_perturbé 1,0
63134,42,35,a,pervers,a_pervers,0
55663,34,30,a,pervers,a_pervers,0
93253,73,42,a,pervers,a_pervers,0
63135,42,35,a,pesant,a_pesant,0
55664,34,30,a,pesant,a_pesant,0
